restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
Puchkas,Marathahalli,Silver Springs Layout Marathahalli Bangalore,Street Food, North Indian, Fast Food, , , , , 
Savji's Roll 'N' Biryani,Vijay Nagar,9 Pipeline Road Vijay Nagar Bangalore,North Indian, Chinese, Rolls, Biryani, , , , 
Kanti Sweets,Brookefield,518 VV Arcade1st Main AECS Layout B Block Kundalahalli Brookefield Bangalore,Mithai, Street Food, , , , , , 
Grill & The Goat,Indiranagar,9 8th Cross 2nd Main Road 1st Stage Indiranagar Bangalore,North Indian, Mughlai, Chinese, Beverages, , , , 
Chulha Chauki Da Dhaba,Brookefield,601 3rd Floor C Block AECS Layout Brookefield Bangalore,North Indian, Chinese, Beverages, , , , , 
Biryani Kitchen,Inorbit Mall Whitefield,FB 11 1st Floor Inorbit Mall EPIP Area Whitefield Bangalore,Biryani, , , , , , , 
Burma Burma,Indiranagar,607 Ground Floor 12th Main Hal 2nd Stage Indiranagar Bangalore,Asian, Burmese, Bubble Tea, Salad, Tea, Desserts, Ice Cream, Beverages
Mayuri,JP Nagar,N-7 24th Main Road TMC Layout 1st Phase JP Nagar Bangalore,Andhra, Chinese, North Indian, Mughlai, Biryani, Desserts, , 
Ice Corner,Marathahalli,2nd Floor Survey 88 Munnekolalu Marathahalli Bangalore,Desserts, Ice Cream, Beverages, , , , , 
99 Variety Dosa & Pav Bhaji,Krishna Kuteer HSR,17G 18th Cross 3rd Sector HSR Bangalore,South Indian, Street Food, , , , , , 
Best In The Bowl,BTM,Delivery Only,North Indian, South Indian, Chinese, , , , , 
The Soft Corner,Basavanagudi,Delivery Only,Ice Cream, Desserts, , , , , , 
Hangout Multi Cuisine Restaurant,Bannerghatta Road,1st Floor Sitaram Complex Opposite IIM Main Gate Bannerghatta Road Bangalore,North Indian, South Indian, , , , , , 
Red Rhino,Whitefield,4th Floor Uptown Square Seegehalli Near Alliance 10 Downing Villas Hoskote Road Whitefield Bangalore,North Indian, Continental, Asian, Burger, Desserts, , , 
Mysore Coffee House,Whitefield,9 3rd Cross N S R Layout Ramagondanhalli Extension Nallurahalli Main Road Mahadevapura Whitefield Bangalore,North Indian, , , , , , , 
Udupi Grand Veg,Marathahalli,152/2Opposite Government Hospital Shanbogh Layout Doddanekkundi Marathahalli Bangalore,South Indian, North Indian, Biryani, Beverages, , , , 
Lassi Corner,Brookefield,Delivery Only,Beverages, Ice Cream, Desserts, North Indian, Fast Food, Sandwich, ,
Purani Dilli Se,BTM,24 3rd C Cross 18th Main 2nd Stage Near Canara Bank BTM Bangalore,North Indian, Mughlai, , , , , , 
1441 Pizzeria,Koramangala 5th Block,475/1 Ground Floor KHB Colony Koramangala 5th Block Bangalore,Pizza, Italian, Fast Food, Beverages, , , , 
Fish & Fries Restaurant,HSR,1677 27th Main 22nd Cross Sector 2 Near NIFT College HSR Layout HSR Bangalore,Mangalorean, Italian, Mexican, Fast Food, , , , 
The Pallet,Whitefield,Survey 120/3 Ground Floor HVP Crest ITPL Main Road Rajapalya Hoodi Whitefield Bangalore,Finger Food, North Indian, Continental, Chinese, Italian, , , 
The Fatty Bao - Asian Gastro Bar,Indiranagar,610 3rd Floor 12th Main Off 80 Feet Road Indiranagar Bangalore,Japanese, Sushi, Asian, Chinese, Momos, , , 
Windmills Craftworks,Windmills Craftworks,331 EPIP Area Near KTPO Road 5B Whitefield Bangalore,Continental, North Indian, Kebab, Desserts, , , , 
Hiyar Majhe Kolkata,BTM,23 C BBMP 49 7th Main Road BTM 2nd Stage BTM Bangalore,Bengali, North Indian, Chinese, Biryani, , , , 
Dindigul Thalappakatti,Jayanagar,641 11th Main 46th Cross 5th Block Jayanagar Bangalore,South Indian, Biryani, Chinese, North Indian, , , , 
Aligarh House,Varthur Main Road Whitefield,710 Thubarahalli Varthur Main Road Whitefield Bangalore,Biryani, North Indian, Mughlai, , , , , 
Taproom by Sherlock's,JP Nagar,745 Sarakki 15th Cross Road JP Nagar Bangalore,North Indian, Chinese, South Indian, , , , , 
Ande Ka Funda,Marathahalli,6 Shyamala Reddy Dental College Road Marathahalli Bangalore,North Indian, Chinese, Hyderabadi, , , , , 
Kabab Souq,Richmond Road,18/1 Wellington Street Opposite The Frank Anthony Junior Public School Richmond Road Bangalore,Kebab, South Indian, Kerala, , , , , 
Sri Udupi Food Hub,Jayanagar,155 43rd Cross Road 8th Block Jayanagar Bangalore,South Indian, North Indian, Chinese, Beverages, , , , 
Puliyogare Point,Basavanagudi,81 East Anjaneya Street NR Colony Basavanagudi Bangalore,South Indian, , , , , , , 
Burger King,VR Bengaluru Whitefield,FC 12 Food Court Second Floor VR Mall Plot 11 B Dyvasandra UP 2010 Village Krishnaraj Puram Whitefield Bangalore,Burger, Fast Food, Beverages, , , , , 
Punjabi Nawabi,HSR,78/4 Ground Floor Lakedew Residency Compound Haralur Main Road Opposite Airtel Office HSR Bangalore,North Indian, Chinese, Beverages, , , , , 
Lagom Patisserie,Frazer Town,99 1st Floor Spencer Road Frazer Town Bangalore,Bakery, Desserts, , , , , , 
TBC- Sky Lounge,Marathahalli,36/1 5th Floor Berry's Hotel Kadubeesanahalli Opposite JP Morgan Ring Road Marathahalli Bangalore,Continental, Asian, Italian, North Indian, , , , 
The Druid Garden,Sahakara Nagar,40/1 3rd Floor Century Corbel Commercial Sahakara Nagar Bangalore,Asian, Continental, Pizza, North Indian, Mediterranean, , , 
Buffalo Wild Wings,Indiranagar,838/A 100 Feet Road 1st Stage Binnamangala Indiranagar Bangalore,American, Mexican, Desserts, , , , , 
Kesar Sweet Shop & Fast Food,Brookefield,605 AECS Layout Kundanahalli Brookefield Bangalore,Desserts, North Indian, Chinese, Street Food, , , , 
M.M.A Kababs Rolls And Biryani Center,Brookefield,Opposite Silver Line Bakery Kundanahalli Gate ITPL Main Road Brookefield Bangalore,North Indian, Mughlai, Chinese, Biryani, Rolls, , , 
Erivum Puliyum,Brookefield,272 AECS Layout Main Road Brookefield Bangalore,Kerala, South Indian, Seafood, Biryani, Chinese, Street Food, , 
Preethi's Biryani Hub,Whitefield,7th Cross Church Road 2nd Main Udayanagar Mahadevpura Whitefield Bangalore,Biryani, South Indian, Beverages, , , , , 
The Bier Library,Koramangala 6th Block,14 Patel Narayana Reddy Layout 80 Feet Main Road Koramangala 6th Block Bangalore,Continental, North Indian, Pizza, BBQ, , , , 
The Shawarma Shop,BTM,688 Opposite IWWA Party Hall 7th Main BTM Bangalore,Arabian, , , , , , , 
Snow'ora,Basavanagudi,G7 Seshmahal Bulding Vasavi Temple Street VV Puram Basavanagudi Bangalore,Desserts, Beverages, Sandwich, , , , , 
Thakkali Kitchens,Electronic City,19 Tech City Layout Doddathogur Village Electronic City Bangalore,South Indian, Kerala, , , , , , 
Udupi Veg Garden,HBR Layout,Shop 1 2nd Floor 857/1 2nd Cross Near HP Petrol Pump HBR Layout Bangalore,South Indian, Sandwich, Beverages, , , , , 
Absolute Shawarma,Rajarajeshwari Nagar,34/4 A Channasandra Village Near RNS IT College Rajarajeshwari Nagar Bangalore,Lebanese, Rolls, , , , , , 
Paris Panini - French Street Food,Indiranagar,2984 12th Main HAL 2nd Stage Indiranagar Bangalore,Cafe, French, Desserts, , , , , 
New Punjabi Food Corner,Electronic City,Fruit Market Road Above HDFC Bank Electronic City Bangalore,North Indian, Chinese, , , , , , 
