restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
14 Districts,BTM,01 100 Feet Ring Road 1st Phase 2nd Stage BTM Bangalore,Kerala, Beverages, , , , , , 
Sadda Adda,Yelahanka,Kattigenahalli Reva Circle Bagalur Main Road Yelahanka Bangalore,North Indian, Chinese, Fast Food, Biryani, , , , 
McLeans Italian Pizzeria,Ejipura,42/2 20th C Cross Buchappa Layour Ejipura Bangalore,American, Pizza, , , , , , 
Arbor Brewing Company,Brigade Road,8 3rd Floor Allied Grande Plaza Diagonally Opposite Garuda Mall Brigade Road Bangalore,American, Continental, Fast Food, Beverages, , , , 
The Lassi Pub,Indiranagar,110 Ground Floor 18th Main 100 Feet Road Indiranagar Bangalore,Beverages, Ice Cream, , , , , , 
Cake Dilim,Marathahalli,43 C/o SGR Plaza Near Federal Bank Old Airport Road Market Stop Marathahalli Bangalore,Bakery, Desserts, , , , , , 
China Garten,Domlur,Shop 82 Ground Floor Vasanthappa Garden 13th G Main Doopanahalli Domlur Bangalore,Chinese, , , , , , , 
New Uncle Kitchen,Jalahalli,870 Sujatha A Block 2nd Main Ayappa Nagar Jalahalli Bangalore,Biryani, North Indian, Chinese, , , , , 
Flavours Hut,HSR,177 Bhumi Complex 9th Main 7th Sector Opposite Union Bank HSR Bangalore,Kerala, North Indian, Chinese, Seafood, Biryani, , , 
Malleshwaram Dosa Corner,Malleshwaram,251 17th Cross Road Malleshwaram West Malleshwaram Bangalore,South Indian, , , , , , , 
Barkaas- Arabic Restaurant,Marathahalli,90/2 Kishan Icon First Floor Near Innovative Multiplex Marathahalli Bangalore,Arabian, Biryani, Desserts, Beverages, Salad, , , 
Nani's Hyderabad Dum Biryani,Rajajinagar,11th Cross C Block M.R Palya Gayathrinagar Rajajinagar Bangalore,Biryani, Hyderabadi, , , , , , 
Kalinga Darbaar Rolls,Kengeri,Global Village Back Gate Mylasandra Kengeri Bangalore,Rolls, , , , , , , 
Phulke Ghar Ke,Bellandur,18/1 HMR Complex Near Ganesh Temple Bellandur Bangalore,North Indian, , , , , , , 
Khana Khazana,BTM,Delivery Only,North Indian, Mughlai, Biryani, , , , , 
Tata Cha,Phoenix Market City Mall Whitefield,Lower Ground Floor Phoenix Market City Whitefield Bangalore,Cafe, Street Food, Tea, Beverages, , , , 
Spice Up,JP Nagar,228/A 9th Main 10th Cross K.S.R.T.C Layout 2nd Phase JP Nagar Bangalore,Chinese, , , , , , , 
Golden China,Koramangala 1st Block,40 Estilo Canta 1st Main Koramangala 1st Block Bangalore,Chinese, , , , , , , 
Delhi Base Sri Food Court,Electronic City,Near BHEL Velankani Road Electronic City Bangalore,North Indian, Chinese, , , , , , 
WOW! Momo,BTM,802 14th Main Road 2nd Stage Opposite ICICI Bank BTM Bangalore,Momos, , , , , , , 
Indian Grill House,Electronic City,17 C In Keonics 1st Phase Electronic City Bangalore,North Indian, Biryani, Chinese, Mughlai, , , , 
Chianti,Indiranagar,960 12th Main HAL 2nd Stage Indiranagar Bangalore,Italian, , , , , , , 
Shawarma Inc,Koramangala 5th Block,114 1st & 2nd Floor Koramangala Industrial Layout Koramangala 5th Block Bangalore,Lebanese, Fast Food, , , , , , 
Indigo XP,Koramangala 5th Block,5th Floor 6th Block Elite Building Industrial Layout Jyoti Nivas College Road Koramangala 5th Block Bangalore,Finger Food, Continental, Chinese, Italian, North Indian, , , 
The Good Bowl,KR Puram,Site 8 New 1 Channasandra Property 121 2nd Main Road KR Puram Bangalore,Asian, Biryani, North Indian, Desserts, , , , 
Sugarberryz Cakery,Commercial Street,62 Meenakashi Kovil Street Commercial Street Bangalore,Bakery, Desserts, , , , , , 
Thiruvithamkoor Restaurant,Sarjapur Road,3/3 Muniyanna Building Behind Bata Showroom Kaikondrahalli Sarjapur Road Bangalore,Kerala, Seafood, South Indian, Biryani, , , , 
Bangarpet Pani Poori,Banaswadi,5 Raghu Building 2nd Cross Horamavu Main Road Banaswadi Bangalore,Street Food, , , , , , , 
Khawa Karpo,Koramangala 5th Block,50/1 Near Jyothi Nivas College Koramangala 5th Block Bangalore,Chinese, Tibetan, , , , , , 
De Grand Restaurant,Hennur,1 Hegde Nagar Opposite Max Super Market Kothnur Main Road K Narayanapura Hennur Bangalore,North Indian, Chinese, , , , , , 
Pind Balluchi,Forum Neighbourhood Mall Whitefield,Shop 216 - 219 2nd Floor Forum Neighbourhood Mall Prestige Ozone 62 Whitefield Bangalore,North Indian, Mughlai, , , , , , 
Samosa Singh,RT Nagar,Delivery Only,Street Food, North Indian, Beverages, , , , , 
Breezy Cow Bar,Kaggadasapura,Shop 62 1st A Cross SSB Towers Opposite Nilgirs Vignan Nagar Main Road New Tippasnadra Kaggadasapura Bangalore,Beverages, Ice Cream, , , , , , 
Udupi Upahar,Banashankari,1585 22nd Main 1st Stage Near SBM Colony Bus Stop Banashankari Bangalore,South Indian, Chinese, North Indian, Juices, , , , 
Zaatar,KR Puram,Ground Floor Mereside Heights Near Tin Factory Swami Vivekananda Road Sakshi Nagar Pai Layout KR Puram Bangalore,BBQ, Arabian, North Indian, Biryani, , , , 
Taste Of Tibet,Brigade Road,5 Rest House Road Indo Dubai Plaza 2nd Floor Off Brigade Road Bangalore,Tibetan, Chinese, Momos, , , , , 
KorYeah! Chicken & Grill,HSR,1/120 14th Main Road 5th Sector HSR Bangalore,Korean, , , , , , , 
Dhaba Social,Brookefield,5/3 BEML Layout Varthur Main Road Kundanahalli Gate Brookefield Bangalore,North Indian, , , , , , , 
Sammaan Restaurant,Jalahalli,182 HSR Square Hesaraghatta Main Road T Darsarahalli Jalahalli Bangalore,North Indian, Chinese, Continental, Biryani, , , , 
Mainland China,Whitefield,28/2 1st Floor Siddapura Whitefield Main Road Whitefield Bangalore,Chinese, Asian, Sushi, Japanese, Thai, , , 
Maravanthe,Indiranagar,322/1 1st Floor CMH Road Indiranagar Bangalore,Seafood, Mangalorean, , , , , , 
Frost & Feather,HSR,Shop 3 1197 Ground Floor Falak Complex 22nd Cross Sector 2 HSR Bangalore,Cafe, Pizza, Desserts, Beverages, , , , 
Shiro,UB City,2nd Floor UB City Mall Vittal Mallya Road Lavelle Road Bangalore,Japanese, Asian, , , , , , 
Raichur Biryani House,HSR,A174 19th Main Road 17th Cross 4th Sector HSR Bangalore,Biryani, North Indian, Chinese, , , , , 
Cafe Burgerista,Kalyan Nagar,Delivery Only,Burger, Sandwich, Beverages, , , , , 
Shezan,Cunningham Road,Sultan Shah Complex Cunningham Road Bangalore,Chinese, Continental, North Indian, Mughlai, Steak, , , 
Manny's Smoothie Bar,Koramangala 1st Block,86 Jakkasandra Village Near IIFL Gold Loan Sarjapur Road BTM Layout Koramangala 1st Block Bangalore,Beverages, Desserts, , , , , , 
Zeeshan,JP Nagar,1 Gopal Reddy Layout 18th Cross 21st Main 5th Phase JP Nagar Bangalore,North Indian, Kebab, Biryani, Rolls, , , , 
Nammane Biryani,Rajajinagar,7th Cross Market Road Lakshminarayana Pura Near Lakshmi Jayam English School Rajajinagar Bangalore,Biryani, Chinese, , , , , , 
Hyderabad Darbar,Electronic City,10 Shanthipura Road Near HDFC Bank Phase 2 Electronic City Bangalore,Andhra, South Indian, Chinese, , , , , 
Flames Pizza,Yelahanka,Shop 792 2nd Main Road Mother Dairy Circle New Town Yelahanka Bangalore,Pizza, Fast Food, , , , , , 
Kerala Tiffin,Whitefield,Delivery Only,Kerala, Seafood, Biryani, , , , , 
Momo Rice Noodles,BTM,61 Muninarasimaiah Garden 7th Cross Thaverekere Main Road 1st Stage BTM Bangalore,Chinese, , , , , , , 
MP07 Cafe,BTM,#59/1-2 5th Main 18th Cross NS Palya BTM 2nd Stage BTM Bangalore,North Indian, Street Food, , , , , , 
MOJO Pizza - 2X Toppings,BTM,Liss Arcade 16th Main Road 2nd Stage BTM Bangalore,Pizza, Italian, Fast Food, Desserts, , , , 
Plates Restaurant,Yeshwantpur,27 Ground Floor 4th Cross 4th Main MSR College Road Mathikere Yeshwantpur Bangalore,Fast Food, Chinese, North Indian, Seafood, , , , 
Fiero! Pizzeria,Koramangala 6th Block,15 19th Main 60 Feet Road Koramangala 6th Block Bangalore,Pizza, Italian, Fast Food, , , , , 
S Square Family Restaurant,Bannerghatta Road,33 & 34 Mutrswamy Layout 8th Cross Hulimavu Bannerghatta Road Bangalore,Kerala, Seafood, North Indian, South Indian, Fast Food, Chinese, , 
Hotel Nalapaka,Rajajinagar,28 12th Main 1st Block Rajajinagar Bangalore,South Indian, , , , , , , 
The Pulkawala,Bommanahalli,336/2 Tallam Arcade Bommanahalli Industrial Area Near ICICI Bank Bommanahalli Bangalore,North Indian, Street Food, , , , , , 
Cheesiaano Pizza,Bannerghatta Road,3 Panduranga Nagar Doesanipalya Govinda Reddy Layout Arekere Bannerghatta Road Bangalore,Pizza, Italian, , , , , , 
San Churro Cafe,Banashankari,1112 17th Cross 2nd Stage Near KIMS Medical College Banashankari Bangalore,Cafe, Mexican, Italian, Pizza, Desserts, Beverages, , 
Burger Toll,BTM,Ground Floor Opposite MK Residency 7th Main Road BTM Bangalore,Burger, Fast Food, Pizza, Sandwich, , , , 
EAT - East Asian Treats,Electronic City,47/7 1st Floor Nanjunda Reddy Complex Doddathogur Near Velankani Gate 2 Electronic City Bangalore,Asian, Chinese, Thai, Seafood, Fast Food, , , 
Savoury - Sea Shell Restaurant,BTM,28 1st Cross Maruthi Nagar Madiwala BTM Bangalore,Arabian, North Indian, Chinese, Fast Food, , , , 
Carlos Cake Cafe,Marathahalli,16 17 & 18 SGR Dental College Road Munekolal Marathahalli Bangalore,Bakery, Desserts, , , , , , 
Pork Parotta Paradise,KR Puram,12 1st Cross RR Layout Opposite Bharat Petrol Pump KR Puram Bangalore,Fast Food, , , , , , , 
Marenahalli Donne Biriyani,JP Nagar,24 1st A Cross 2nd Phase Main Road JP Nagar Bangalore,Biryani, , , , , , , 
New Royal Darbar,Yelahanka,169 1st Main 4th Phase New Town Yelahanka Bangalore,North Indian, Chinese, Biryani, , , , , 
Hari Super Sandwich,BTM,24 Shop 2 Ground Floor 3rd B Cross Road 18th Main Road Roopa Nagar 2nd stage BTM Bangalore,Sandwich, Fast Food, , , , , , 
Bangalore Mandarin,Whitefield,619 2nd Floor Whitefield Main Road Whitefield Bangalore,Chinese, Seafood, , , , , , 
Sriracha,UB City,204 2nd Level 4th Floor Comet Block UB City Vittal Mallya Road Lavelle Road Bangalore,Thai, Chinese, Asian, Beverages, , , , 
Fat Owl,JP Nagar,610 100 Feet Ring Road 15th Cross Road 1st Phase JP Nagar Bangalore,Finger Food, American, Asian, Steak, North Indian, South Indian,, 
Basil Bistro,HSR,2064 Siri Iris 13th Cross 24th Main Vanganhalli Sector 1 HSR Bangalore,Continental, Italian, North Indian, Chinese, , , , 
Waffle Cream Shakes,Koramangala 7th Block,335 Temple Tree Complex Someshwara Temple Road KHB Colony Koramangala 7th Block Bangalore,Desserts, Ice Cream, Beverages, , , , , 
Punjabi Nukkad Pure Veg,HSR,108/2 Lakedew Residency HSR Bangalore,North Indian, Chinese, , , , , , 
United Mess,Jalahalli,67 Gyanajyothi Nagar Soladevanahalli Near Acharya College Jalahalli Bangalore,Biryani, Chinese, , , , , , 
Maven Kitchen,Ejipura,162 1st Cross R.A Road Viveknagar Ejipura Bangalore,Chinese, , , , , , , 
Amintiri,Indiranagar,Delivery Only,Bakery, Desserts, , , , , , 
Coco Barista,BTM,18th Main 2nd Stage Opposite Canara Bank BTM Bangalore,Cafe, , , , , , , 
Sandwich Guru,HSR,54/1 1st Floor 24th Main Road Sector 2 Parangipalya HSR Bangalore,Sandwich, Fast Food, Beverages, , , , , 
Olive Bar And Kitchen,Richmond Road,16 Wood Street Ashok Nagar Richmond Road Bangalore,Mediterranean, European, Salad, Italian, , , , 
Altaf's Chillies Restaurant,Frazer Town,32/1 Hutchins Road Cooke Town Frazer Town Bangalore,North Indian, Chinese, , , , , , 
Bathinda Dine,Bellandur,457/32 Opposite Bangalore Central Mall Outer Ring Road Bellandur Bangalore,North Indian, , , , , , , 
Fish Corner,Yeshwantpur,1065 Triveni Road Gokul Extention MS Ramaiah Bus Stop Mathikere Yeshwantpur Bangalore,North Indian, Chinese, Seafood, , , , , 
Masala Street,Whitefield,128 EPIP Phase 2 SAP Labs Road Opposite KTPO EPIP Zone Whitefield Bangalore,North Indian, , , , , , , 
Sharma's Punjabi Restaurant,Koramangala 1st Block,1018 80 Feet Road Koramangala 1st Block Bangalore,North Indian, Chinese, Kebab, , , , , 
Floured-Baked With Love,Banashankari,415 1st C Cross 3rd Stage 5th Block Banashankari Bangalore,Bakery, , , , , , , 
Foodite,Nagawara,Delivery Only,North Indian, Chinese, Biryani, , , , , 
Treat Restaurant,Hebbal,6/1 2nd Cross Road Vinayaka Layout Kempapura Hebbal Bangalore,Chinese, North Indian, South Indian, Juices, , , , 
Shift,HSR,1085 14th Main 18th Cross Sector 3 HSR Bangalore,Finger Food, Continental, North Indian, Pizza, , , , 
Shan's Kitchen,Marathahalli,Shop 1 Site 4 60 Feet Road Lakshminayarana Pura Aecs Layout Marathahalli Bangalore,South Indian, Tamil, Chinese, Biryani, , , , 
Fishing Boat,New BEL Road,2 1st Cross Om Adi Shakti Krupa MSRE College Road Mathikere Extension New BEL Road Bangalore,Kerala, South Indian, North Indian, Chinese, Seafood, , , 
Plated,New BEL Road,70 80 Feet Road RMV 2nd stage New BEL Road Bangalore,Cafe, Continental, , , , , , 
Odisha Platter,Marathahalli,136 4th A Cross Shirdi Sai Nagar Opposite Saptagiri Homes Apartments Munekollala Marathahalli Bangalore,Odia, Chinese, , , , , , 
Ayodhya Upachar,Banashankari,199/1 Ajanaya Bhavana 100 Feet Ring Road Kathriguppe Banashankari Bangalore,South Indian, North Indian, Chinese, Street Food, Beverages, , , 
Rusbury Fresh Sweets And Savouries,Bommanahalli,Delivery Only,Mithai, Street Food, , , , , , 
Namma Madurai,Kaggadasapura,25 Shanthi Sadhan Kaggadasapura Main Road Near Malleshpalaya New Bus Stand Kaggadasapura Bangalore,South Indian, , , , , , , 
The Biryani Cart,Whitefield,1/1 Kumbena Agrahara Near Nps School Kadugodi Plantation Whitefield Bangalore,Biryani, , , , , , , 
Krishna Vaibhava,Vijay Nagar,1712 17th Cross 21st Main Near Maruthi Mandir Vijay Nagar Bangalore,South Indian, North Indian, Chinese, Mithai, , , , 
Prost Brew Pub,Whitefield,21 11th Floor Trifecta Adatto ITPB Main Road Garudachar Palya Mahadevapura Whitefield Bangalore,North Indian, American, Continental, Pizza, , , , 
Firangi Bake,Jayanagar,Delivery Only,Italian, Mexican, , , , , , 
Matteo Coffea,Church Street,2 Church Street Bangalore,Cafe, , , , , , , 
The Biryani Life,Jayanagar,Delivery Only,Biryani, North Indian, , , , , , 
Biryani Headquaters,BTM,Delivery Only,Biryani, Chinese, , , , , , 
Cafe 60 Four,Yelahanka,1st Floor Site 904/1 1st Main Road Near IDBI Bank Yelahanka Bangalore,Cafe, Fast Food, Chinese, Beverages, Italian, Desserts, , 
New Kabab Zone,Bannerghatta Road,1057 Devarachikkanahalli Road Vijay Bank Colony Opposite Oh My Baby Bannerghatta Road Bangalore,North Indian, Chinese, Rolls, , , , , 
7 Plates,RT Nagar,12 Rahmathnagar Bus Stop RT Nagar Bangalore,North Indian, Mughlai, Chinese, Fast Food, , , , 
Garhwali Tadka,Electronic City,150 Muni Redy Building Neotown Road Near Smondo 2.0 Electronic City Bangalore,North Indian, Chinese, Fast Food, Beverages, , , , 
Carnatic,JP Nagar,55 4th Floor Goenka Chambers 19th Main Road JP Nagar Bangalore,South Indian, Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean, 
Hotel N.G.T Non-Veg,Rajarajeshwari Nagar,88/A Halage Vaderahalli BEML Layout 5th Stage Rajarajeshwari Nagar Bangalore,South Indian, Mangalorean, , , , , , 
New Paratha Corner,Whitefield,14 ECC Road Near GR Tech Park Whitefield Bangalore,North Indian, Chinese, , , , , , 
Pot-O-Noodles,Indiranagar,201 Double Road Indiranagar Bangalore,Chinese, Asian, Japanese, , , , , 
Udupi Grand Veg,Whitefield,710 Thubarahalli Varthur Main Road Whitefield Bangalore,South Indian, North Indian, Biryani, Chinese, , , , 
Tadka Punjabi Restaurant,Whitefield,937/HK 147 Survey 41 Ground Floor Opposite ICICI Bank Main Road Whitefield Bangalore,North Indian, Chinese, , , , , , 
Aurum Brew Works,Sarjapur Road,82/2 3rd Floor Gold Sand Doddakannalli Mahadevapura Sarjapur Road Bangalore,North Indian, American, Continental, Desserts, Beverages, , , 
Giselle Resto Cafe,Kammanahalli,13 Captain Munshi Layout Kammanahalli Bangalore,Cafe, Continental, Beverages, , , , , 
Cafe Del Sol,Nagarbhavi,18 5th Cross 14th Block 2nd Stage Nagarbhavi Bangalore,Cafe, Continental, North Indian, Chinese, Italian, Desserts, , 
Laddoos,Electronic City,SJR Equinox Opposite Velankani Gate 3 Phase1 Electronic City Bangalore,Street Food, Mithai, , , , , , 
Thai Chy,Indiranagar,197/A Double Road 2nd Stage Opposite HDFC Bank Indiranagar Bangalore,Asian, Thai, Indonesian, Chinese, , , , 
Dal Roti Sabji,Indiranagar,5 80 Feet Road1st Stage H Colony Indiranagar Bangalore,North Indian, , , , , , , 
Classic Kitchen,Ulsoor,Delivery Only,North Indian, Rolls, Wraps, Burger, , , , 
Reddy Home Mess,Yelahanka,114 B-2 7th B Cross Near RTO Office Yelahanka Bangalore,Andhra, Biryani, North Indian, , , , , 
Doughpaze,Banashankari,867 80 Feet Road 1st Phase Girinagar Banashankari Bangalore,Bakery, Fast Food, Beverages, , , , , 
Moti Mahal Delux,HSR,331 Ground Floor 27th Main 2nd Stage HSR Bangalore,North Indian, Mughlai, Biryani, , , , , 
Shuchi Ruchi,Malleshwaram,92 1st Main 10th Cross Temple Road Sampige Road Malleshwaram Bangalore,Chinese, North Indian, Street Food, South Indian, Fast Food, , , 
Park Street Restaurant,Hebbal,2 Ground Floor 18th Cross Dasarahalli Main Road Bhubaneswari Nagar Hebbal Bangalore,Bengali, North Indian, , , , , , 
Moghul Durbar Restaurant,Jayanagar,30th Cross Tilak Nagar Main Road Jayanagar Bangalore,North Indian, BBQ, Kebab, Rolls, , , , 
Cake Chemistry,Jayanagar,1375 Prasanna Arcade East End Main Road Jayanagar Bangalore,Bakery, Desserts, Ice Cream, Fast Food, , , , 
Good Meals,Jeevan Bhima Nagar,14 2nd Floor 10th Main Road HAL 3rd Stage Jeevan Bhima Nagar Bangalore,North Indian, South Indian, , , , , , 
2 Mum's Kitchen,Marathahalli,Delivery Only,North Indian, Chinese, , , , , , 
Sanchez Taqueria & Cantina,Indiranagar,608 12th Main Road 2nd Stage Indiranagar Bangalore,Mexican, Tex-Mex, Beverages, , , , , 
1522 - The Pub,JP Nagar,613 Opposite Sindhoor Convention Center 15th Cross 6th Phase 100 Feet Road JP Nagar Bangalore,Chinese, North Indian, Mughlai, Finger Food, Seafood, , , 
Brahma Brews,JP Nagar,24th Main 7th Phase Opposite Brigade Palm Springs JP Nagar Bangalore,Bar Food, Asian, Italian, North Indian, Fast Food, European, , 
5th Avenue Cafe,Koramangala 5th Block,44 Terrace Floor 4th B-Cross Road Industrial Layout Koramangala 5th Block Bangalore,Cafe, Italian, Continental, , , , , 
Mylunchboxx - Imu's Kitchen,KR Puram,Delivery Only,Kerala, , , , , , , 
Aioli,Kalyan Nagar,7 5th Main 2nd Block Kalyan Nagar Bangalore,Mediterranean, Continental, Italian, Salad, , , , 
Broadway - The Gourmet Theatre,HSR,2802 27th Main Road Sector 1 HSR Bangalore,Japanese, Sushi, Continental, Asian, North Indian, , , 
M/S. Sai Anandamm Hotel,Whitefield,1st Floor Bhathyappa Building ITPL Back Gate Pattandur Agrahara Whitefield Bangalore,North Indian, Chinese, , , , , , 
House Of Commons,Koramangala 5th Block,122/B Jyothi Nivas Road Koramangala 5th Block Bangalore,Bar Food, Asian, North Indian, Continental, Italian, , , 
Vapour Brewpub and Diner,Sarjapur Road,7th Floor Bren Mercury Kaikondrahalli Junction Sarjapur Road Bangalore,North Indian, Continental, Italian, , , , , 
Sri Vishnu Park,BTM,14 29th Main 100 Feet Road 1st Stage BTM Bangalore,South Indian, North Indian, Chinese, Biryani, , , , 
Bowlsome By Ola Foods,Indiranagar,Delivery Only,North Indian, Thai, Chinese, Desserts, , , , 
Chicken County Restaurant,Bannerghatta Road,13 Opposite Spar Hyper Market Bannerghatta Road Bangalore,North Indian, Chinese, Mughlai, Seafood, Bengali, Desserts, Ice Cream,
Malabar Hotel,Yelahanka,Hesarghata Main Road Vidyaranyapura Post Yelahanka Bangalore,South Indian, North Indian, , , , , , 
